sample	rank	taxid	name	reads	min	uniq	rpm	rpmm
DRR053751	G	5455	Colletotrichum	136	271	35	3.45408966247855	5998.58856739591
DRR053751	S	80884	Colletotrichum higginsianum	136	271	35	3.45408966247855	5998.58856739591
DRR053751	G	5506	Fusarium	22	387	98	0.558749798342118	970.359915314044
DRR053751	S	5127	Fusarium fujikuroi	13	133	20	0.330170335383979	573.394495412844
DRR053751	S	5518	Fusarium graminearum	1	19	11	0.0253977181064599	44.1072688779111
DRR053751	S	5507	Fusarium oxysporum	1	48	12	0.0253977181064599	44.1072688779111
DRR053751	G	243023	Pochonia	3	40	12	0.0761931543193798	132.321806633733
DRR053751	S	280754	Pochonia chlamydosporia	3	40	12	0.0761931543193798	132.321806633733
DRR053751	G	98402	Drechmeria	1	32	13	0.0253977181064599	44.1072688779111
DRR053751	S	98403	Drechmeria coniospora	1	32	13	0.0253977181064599	44.1072688779111
DRR053751	G	2609811	Thermothielavioides	4	75	25	0.10159087242584	176.429075511644
DRR053751	S	2587410	Thermothielavioides terrestris	4	75	25	0.10159087242584	176.429075511644
DRR053751	G	1920207	Thermothelomyces	2	165	24	0.0507954362129198	88.2145377558222
DRR053751	S	78579	Thermothelomyces thermophilus	2	165	24	0.0507954362129198	88.2145377558222
DRR053751	G	5140	Neurospora	3	84	22	0.0761931543193798	132.321806633733
DRR053751	S	5141	Neurospora crassa	3	84	22	0.0761931543193798	132.321806633733
DRR053751	G	48558	Pyricularia	3	187	48	0.0761931543193798	132.321806633733
DRR053751	S	318829	Pyricularia oryzae	2	17	11	0.0507954362129198	88.2145377558222
DRR053751	G	33196	Botrytis	1	53	21	0.0253977181064599	44.1072688779111
DRR053751	S	40559	Botrytis cinerea	1	53	21	0.0253977181064599	44.1072688779111
DRR053751	G	5052	Aspergillus	5	160	36	0.1269885905323	220.536344389555
DRR053751	G	5094	Talaromyces	2	232	27	0.0507954362129198	88.2145377558222
DRR053751	S	121627	Talaromyces rugulosus	2	232	27	0.0507954362129198	88.2145377558222
DRR053751	G	29002	Cercospora	7	308	18	0.177784026745219	308.750882145378
DRR053751	S	122368	Cercospora beticola	7	308	18	0.177784026745219	308.750882145378
DRR053751	G	13366	Brettanomyces	16	97	24	0.406363489703359	705.716302046577
DRR053751	S	5007	Brettanomyces bruxellensis	13	44	9	0.330170335383979	573.394495412844
DRR053751	S	13502	Brettanomyces nanus	3	53	15	0.0761931543193798	132.321806633733
DRR053751	G	461281	Ogataea	11	55	9	0.279374899171059	485.179957657022
DRR053751	S	1005962	Ogataea parapolymorpha	11	55	9	0.279374899171059	485.179957657022
DRR053751	G	4919	Pichia	1	27	9	0.0253977181064599	44.1072688779111
DRR053751	S	4909	Pichia kudriavzevii	1	27	9	0.0253977181064599	44.1072688779111
DRR053751	G	33170	Eremothecium	7	243	21	0.177784026745219	308.750882145378
DRR053751	S	45286	Eremothecium sinecaudum	5	23	5	0.1269885905323	220.536344389555
DRR053751	S	33169	Eremothecium gossypii	2	39	9	0.0507954362129198	88.2145377558222
DRR053751	G	71245	Kazachstania	6	22	6	0.15238630863876	264.643613267466
DRR053751	S	588726	Kazachstania naganishii	6	21	5	0.15238630863876	264.643613267466
DRR053751	G	4910	Kluyveromyces	1	84	15	0.0253977181064599	44.1072688779111
DRR053751	S	28985	Kluyveromyces lactis	1	20	6	0.0253977181064599	44.1072688779111
DRR053751	G	5475	Candida	5	116	32	0.1269885905323	220.536344389555
DRR053751	S	42374	Candida dubliniensis	3	15	10	0.0761931543193798	132.321806633733
DRR053751	S	5476	Candida albicans	2	93	17	0.0507954362129198	88.2145377558222
DRR053751	G	766733	Scheffersomyces	2	30	9	0.0507954362129198	88.2145377558222
DRR053751	S	4924	Scheffersomyces stipitis	2	30	9	0.0507954362129198	88.2145377558222
DRR053751	G	460517	Komagataella	3	17	8	0.0761931543193798	132.321806633733
DRR053751	S	460519	Komagataella phaffii	3	17	8	0.0761931543193798	132.321806633733
DRR053751	G	4951	Yarrowia	1	45	17	0.0253977181064599	44.1072688779111
DRR053751	S	4952	Yarrowia lipolytica	1	45	17	0.0253977181064599	44.1072688779111
DRR053751	G	410829	Sugiyamaella	1	44	14	0.0253977181064599	44.1072688779111
DRR053751	S	796027	Sugiyamaella lignohabitans	1	44	14	0.0253977181064599	44.1072688779111
DRR053751	G	4895	Schizosaccharomyces	4	29	14	0.10159087242584	176.429075511644
